company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
MOLECULAR CONNECTIONS,Clinical SAS Programmers,3.7,Remote,0,Unknown,1001 to 5000 Employees,2001,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$25 to $50 million (USD),3.6,3.4,3.7,3.7,3.6
Moonpreneur,Data Research Associate,4.6,Gurgaon,406202,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,5,5,5,5,4.5
Sitare Foundation,Data Entry Operator,3,Gurgaon,204573,/yr (est.),Unknown,Unknown,Company - Private,"Civic, Welfare & Social Services","Civic, Welfare & Social Services",Unknown / Non-Applicable,3,3.3,2.9,3,2.9
KRSNAA Diagnostics,Data Analyst,3.3,Pune,182166,/yr (est.),Unknown,Unknown,Company - Private,Medical Testing & Clinical Laboratories,Medical Testing & Clinical Laboratories,Unknown / Non-Applicable,3.4,3,3.1,3,2.9
Quest Global,Data Analyst,3.7,Belgaum,415258,/yr (est.),10000+ Employees,1997,Company - Private,Information Technology Support Services,Information Technology Support Services,$500 million to $1 billion (USD),3.7,3.2,3.8,3.5,3.7
Concentrix,Data Miner Global Analytics,4.1,Bengaluru,414540,/yr (est.),10000+ Employees,2004,Company - Public,Information Technology Support Services,Information Technology Support Services,$2 to $5 billion (USD),4,3.7,4.1,3.9,3.8
Ethnotech Academy,MACHINE LEARNING / DATA SCIENCE TRAINER,,Bengaluru,0,Unknown,51 to 200 Employees,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,3.4,3.4,3.2,3.2,3.4
JPMorgan Chase & Co,CIB-Markets Data Management Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
NTT Ltd.,Manager - Data Center Operations,4.2,Karnataka,0,Unknown,10000+ Employees,1952,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),4,3.6,4,3.7,4
Exeliq Consulting,Data Scientist,,India,0,Unknown,1 to 50 Employees,2019,Company - Public,Unknown,Unknown,Less than $1 million (USD),3,1.5,2.5,2.5,3.1
PharmaACE,Data Engineer,3.3,Pune,418911,/yr (est.),201 to 500 Employees,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),3.8,3.2,3.2,3.2,2.7
Marktine Technology Solutions,Data engineer,4.2,Remote,0,Unknown,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),4,3.7,4.1,4.1,4.3
MOLECULAR CONNECTIONS,Statistical Analyst,3.7,Remote,0,Unknown,1001 to 5000 Employees,2001,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$25 to $50 million (USD),3.6,3.4,3.7,3.7,3.6
Bombay Play,Data Engineer,4.3,Bengaluru,768192,/yr (est.),51 to 200 Employees,2017,Company - Private,Video Game Publishing,Video Game Publishing,Unknown / Non-Applicable,4.3,4.2,4.3,4.1,4.3
Medical Assistance,Data Entry Operator,,Cochin,16500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Thoucentric,Data Analyst (Advanced SQL Experience),4.1,Bengaluru,921654,/yr (est.),201 to 500 Employees,2015,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.8,3.5,4.5,4.1,4
Prevalent AI,Data Scientist,4.8,Cochin,691558,/yr (est.),51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.9,4.5,4.9,4.8,4.1
Citta Solutions,Data Engineer,3.6,Remote,0,Unknown,1 to 50 Employees,2009,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$1 to $5 million (USD),3.6,3.5,3.9,3.8,3.6
OpsFree,Data Science Intern,,Ahmedabad,7500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Databricks,Big Data Architect,4.4,Remote,0,Unknown,5001 to 10000 Employees,2013,Company - Private,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,4.3,4.3,4.3,4.2,3.8
Global WeConnect Technologies,Snowflake Data Engineer,4.8,Bengaluru,591608,/yr (est.),1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology Support Services,Less than $1 million (USD),4.6,4.4,4.4,4.6,4.2
Xcel Hires Management Solution,Data Science,,Bengaluru,2000000,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
IBM,Data Scientist: Artificial Intelligence,4.2,Bengaluru,747669,/yr (est.),10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),4.1,3.6,4.2,3.8,4.2
Gain.pro,Private Equity Intelligence - Data Management Analyst,4,Bengaluru,384773,/yr (est.),51 to 200 Employees,2018,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.9,3.4,3.8,3.7,4.2
String Bio,DATA SCIENTIST,4.3,Bengaluru,579655,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.6,3.3,4.5,4.7,3.6
BSRI Solutions,Data Scientist,,Chennai,1100000,/yr (est.),1 to 50 Employees,2016,Company - Private,"Staffing, Recruitment & Subcontracting","Staffing, Recruitment & Subcontracting",Less than $1 million (USD),,,,,
JPMorgan Chase & Co,Data and Quality Control Processing - Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Inventive Software Solutions Pvt. Ltd,Data Entry Operator/Computer Operator,,Noida,19000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
eCloudChain,Data Analyst,,Remote,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,4,5,5,4
Kpro Solutions,Analytics & Data Science,4,Bengaluru,483915,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,4,4,4,4
Athena Global Technologies,Data Engineer,,Hyderābād,678949,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.2,3.5,4,3.9,3.9
Wesco,India-Bangalore: Data Engineer,3.7,Bengaluru,651920,/yr (est.),10000+ Employees,1922,Company - Public,Wholesale,Wholesale,$10+ billion (USD),3.5,3.4,3.6,3.3,3.8
Course5,Data Scientist,4.2,Bengaluru,424426,/yr (est.),1001 to 5000 Employees,2000,Company - Private,Business Consulting,Business Consulting,$100 to $500 million (USD),4.3,4.1,4.3,4.1,4.2
Sanfoundry,Machine Learning Engineer - Fresher,,Hyderābād,0,Unknown,1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
